id,name,url,className,classID,tags,username,license,description,duration,geotags,fold
428956,"Drone, Dishwasher, A.wav",https://freesound.org/people/InspectorJ/sounds/428956/,007 - Cleaning_Appliances,7,['Dishwasher'+ 'Partial'+ 'fundamental'+ 'Series'+ 'Harmonic'+ 'harmonic'+ 'Partials'+ 'Drone'+ 'partials'+ 'Harmonics'+ 'Fundamental'+ 'series'+ 'dishwasher'+ 'drone'+ 'partial'+ 'harmonics'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of a dishwasher droning while active. Looking at this through a spectrogram reveals a huge amount of harmonics and partials based around a fundamental of 100Hz, which is why this sound is so alluring to hum along with. I highly recommend listening with headphones and trying to hum at a perfect 5th above the low drone - the ""fundamental"" - and feel your voice resonating with this universal principal of sound - the harmonic series.

<b>This sound is <u>NOT</u> in the public domain. You <u>MUST</u> attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Drone, Dishwasher, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""Zoom H6 (XY) recorder"" on 10th May 2018.

Note: Audio quality is always better when downloaded.",31.0924,,6
207428,Dishwasher,https://freesound.org/people/tomhannen/sounds/207428/,007 - Cleaning_Appliances,7,['dishwasher'+ 'noise'+ 'repetitive'+ 'water'+ 'ambient'+ 'dish'+ 'white'+ 'washer'],tomhannen,http://creativecommons.org/publicdomain/zero/1.0/,A dishwasher washing some plates.,123.739,51.5113065759 -0.0727844238281,1
525191,dishwasher.wav,https://freesound.org/people/gorkem.yilmaz/sounds/525191/,007 - Cleaning_Appliances,7,['machine'+ 'wash'+ 'dishwasher'+ 'cleaning'],gorkem.yilmaz,http://creativecommons.org/publicdomain/zero/1.0/,a dishwasher machine,52.0127,37.7600370155 27.2636560205,8
525190,dishwasher2.wav,https://freesound.org/people/gorkem.yilmaz/sounds/525190/,007 - Cleaning_Appliances,7,['machine'+ 'wash'+ 'dishwasher'+ 'cleaning'],gorkem.yilmaz,http://creativecommons.org/publicdomain/zero/1.0/,a dishwasher machine,42.3532,37.7619041015 27.2627882616,3
192353,Bosch Dishwasher Motor - Base of Machine Close.wav,https://freesound.org/people/aaronstar/sounds/192353/,007 - Cleaning_Appliances,7,['Dishwasher'+ 'field-recording'+ 'close'+ 'power-scrub-cycle'+ 'electric-motor'+ 'Bosch'],aaronstar,http://creativecommons.org/publicdomain/zero/1.0/,Bosch dishwasher sound close with loud motor sound.  Recorded with Zoom H4n built in mics. ,62.392,35.514203407 -105.939230919,4
192352,Bosch Dishwasher Sound - 3 Feet in Front.wav,https://freesound.org/people/aaronstar/sounds/192352/,007 - Cleaning_Appliances,7,['power-scrub-cycle'+ 'dishwasher'+ 'bosch'+ 'field-recording'],aaronstar,http://creativecommons.org/publicdomain/zero/1.0/,"Just motor sounds of dishwasher running in kitchen with hard floor, and hard lid.  Recorded with Zoom H4n built in mics.",61.4813,35.5142383388 -105.939209461,7
50704,Dishwasher.wav,https://freesound.org/people/RutgerMuller/sounds/50704/,007 - Cleaning_Appliances,7,['cleaner'+ 'cleaning'+ 'dish'+ 'dishwasher'+ 'fork'+ 'knife'+ 'machine'+ 'muffled'+ 'plate'+ 'spoon'+ 'wash'+ 'washer'+ 'washing'+ 'water'+ 'wet'],RutgerMuller,http://creativecommons.org/publicdomain/zero/1.0/,"I placed the microphone against the bottom of a running dishwasher. The sound goes through a couple of stages. Mostly muffled wet sounds.

Recorded With Edirol R-1 &amp; Sennheiser ME66.",210.26,,2
463702,Dishwasher,https://freesound.org/people/Fabrizio84/sounds/463702/,007 - Cleaning_Appliances,7,['dishwasher'+ 'noise'+ 'washing'],Fabrizio84,http://creativecommons.org/publicdomain/zero/1.0/,Dishwasher operating.,79.6876,,3
651208,Dishwasher,https://freesound.org/people/RCSound99/sounds/651208/,007 - Cleaning_Appliances,7,['water'+ 'Dishwasher'+ 'cleaning'+ 'kitchen'],RCSound99,http://creativecommons.org/publicdomain/zero/1.0/,A dishwasher running,34.5281,,8
50705,Dishwasher Door.wav,https://freesound.org/people/RutgerMuller/sounds/50705/,007 - Cleaning_Appliances,7,['button'+ 'close'+ 'closing'+ 'dish'+ 'dishwasher'+ 'door'+ 'flap'+ 'machine'+ 'open'+ 'opening'+ 'sounds'+ 'wash'],RutgerMuller,http://creativecommons.org/publicdomain/zero/1.0/,"Opening and closing the dishwasher's door a couple of times. I pressed the start/stop button too I believe.

Recorded With Edirol R-1 &amp; Sennheiser ME66.",34.9153,,3
328785,creaking dishwasher_1.wav,https://freesound.org/people/barkenov/sounds/328785/,007 - Cleaning_Appliances,7,['squeak'+ 'creak'+ 'dishwasher'+ 'door'],barkenov,http://creativecommons.org/publicdomain/zero/1.0/,"My dishwasher's door is really creaking... Sounded very interesting to me. 
Mono File. Recorded w/ Senheiser K6 Mic (cardioid cell) and Marantz PMD 661. ",24.5714,,5
328784,creaking dishwasher_2.wav,https://freesound.org/people/barkenov/sounds/328784/,007 - Cleaning_Appliances,7,['squeak'+ 'creak'+ 'dishwasher'+ 'door'],barkenov,http://creativecommons.org/publicdomain/zero/1.0/,"My dishwasher's door is really creaking... Sounded very interesting to me. 
Mono File. Recorded w/ Senheiser K6 Mic (cardioid cell) and Marantz PMD 661. ",24.3482,,3
328786,Creaking dishwasher 4_ST.wav,https://freesound.org/people/barkenov/sounds/328786/,007 - Cleaning_Appliances,7,['squeak'+ 'creak'+ 'dishwasher'+ 'door'],barkenov,http://creativecommons.org/publicdomain/zero/1.0/,"My dishwasher's door is really creaking... Sounded very interesting to me. 
Stereo File Recorded w/ Marantz PMD 661, Int Mic.  ",34.7466,,7
543035,dishwasher,https://freesound.org/people/gecop/sounds/543035/,007 - Cleaning_Appliances,7,['interior'+ 'kitchen'+ 'machine'+ 'dishwasher'],gecop,http://creativecommons.org/publicdomain/zero/1.0/,field recording in stereo of a working dishwasher in a quiet kitchen,28.0577,,9
259642,Dishwasher.wav,https://freesound.org/people/Stevious42/sounds/259642/,007 - Cleaning_Appliances,7,['water'+ 'dishwasher'+ 'washing'+ 'dishes'+ 'domestic'+ 'machine'+ 'wash'+ 'cleaning'+ 'kitchen'],Stevious42,http://creativecommons.org/licenses/by/3.0/,dishwasher in opperation,30.7418,,9
146158,Washer Wash (loop).wav,https://freesound.org/people/DanaMac/sounds/146158/,007 - Cleaning_Appliances,7,['laundry'+ 'household'+ 'wash-cycle'+ 'dryer'+ 'washing-machine'+ 'washer'+ 'loop'+ 'clothes'],DanaMac,https://creativecommons.org/licenses/by/4.0/,"This is the sound of a fairly new washer going through a wash cycle. Ambient shaping of the sound makes it apparent the washer is in a small room. 
This is a ten-second loop-ready wav

Recorded on Fostex MR8 8-track recorder with Nady SP-9 Dynamic Mic.",8.86481,,6
89978,Ben'sWasher.wav,https://freesound.org/people/B%20McManus/sounds/89978/,007 - Cleaning_Appliances,7,['washer'],B McManus,http://creativecommons.org/publicdomain/zero/1.0/,The sounds of a washer,14.0173,,6
146159,Washer Fill (loop).wav,https://freesound.org/people/DanaMac/sounds/146159/,007 - Cleaning_Appliances,7,['laundry'+ 'household'+ 'water'+ 'running'+ 'dryer'+ 'washing-machine'+ 'washer'+ 'loop'+ 'clothes'],DanaMac,https://creativecommons.org/licenses/by/4.0/,"This is the sound of a fairly new washer filling with water. Ambient shaping of the sound makes it apparent the dryer is in a small room.  A running water sound.

This is a ten-second loop-ready wav

Recorded on Fostex MR8 8-track recorder with Nady SP-9 Dynamic Mic.",9.63102,,5
185904,washer.wav,https://freesound.org/people/Eirikr/sounds/185904/,007 - Cleaning_Appliances,7,['UPF-CS13'+ 'washing-clothes'+ 'campus-upf'+ 'washer-machine'+ 'washer'],Eirikr,http://creativecommons.org/publicdomain/zero/1.0/,washer washing clothes,10.4738,41.4038532586 2.19363927841,3
258356,dish washer,https://freesound.org/people/hanuman81/sounds/258356/,007 - Cleaning_Appliances,7,['dish'+ 'dish-washer'+ 'washing'+ 'washer'+ 'dishes'],hanuman81,http://creativecommons.org/publicdomain/zero/1.0/,Electric dish washer,189.461,,8
580927,Loud washer 1,https://freesound.org/people/thegreatbelow/sounds/580927/,007 - Cleaning_Appliances,7,['laundry'+ 'washer'+ 'washing-machine'],thegreatbelow,http://creativecommons.org/publicdomain/zero/1.0/,Very loud washer,92.8557,,3
580928,Loud washer 2,https://freesound.org/people/thegreatbelow/sounds/580928/,007 - Cleaning_Appliances,7,['laundry'+ 'washer'+ 'washing-machine'],thegreatbelow,http://creativecommons.org/publicdomain/zero/1.0/,Very loud washer,69.6787,,6
71536,pressure washer bounce.wav,https://freesound.org/people/andrewgnau2/sounds/71536/,007 - Cleaning_Appliances,7,['electric'+ 'pressure'+ 'washer'],andrewgnau2,http://creativecommons.org/licenses/sampling+/1.0/,electric pressure washer motor,11.0521,,3
556985,dish-washer-00.flac,https://freesound.org/people/pbimal/sounds/556985/,007 - Cleaning_Appliances,7,['dish'+ 'washer'+ 'cleaning'],pbimal,http://creativecommons.org/publicdomain/zero/1.0/,Dish washer in operation,9.87726,,2
147772,WASHER machine 2.wav,https://freesound.org/people/jimsim/sounds/147772/,007 - Cleaning_Appliances,7,['machine'+ 'WASHER'+ 'sping'+ 'fast'+ 'cycle'],jimsim,https://creativecommons.org/licenses/by/4.0/,"second part to the WASHER machine sample
",91.7087,,2
235366,washer on wash 2.wav,https://freesound.org/people/3863/sounds/235366/,007 - Cleaning_Appliances,7,['wash'+ 'washer'+ 'cycle'],3863,http://creativecommons.org/publicdomain/zero/1.0/,This is a washer on wash as it wash the cloths inside of it .,37.2234,,8
378487,Washer and Dryer.wav,https://freesound.org/people/AdamsArchive/sounds/378487/,007 - Cleaning_Appliances,7,['Apartment'+ 'field-recording'+ 'Dryer'+ 'AdamsArchive'+ 'Washer'+ 'Austin'+ 'Texas'],AdamsArchive,http://creativecommons.org/licenses/by/3.0/,Sound from my washer and dryer,8.70147,,3
346175,Dish Washer.wav,https://freesound.org/people/VSokorelos/sounds/346175/,007 - Cleaning_Appliances,7,['wash'+ 'stop'+ 'start'+ 'dish'+ 'iekdelta'+ 'washer'+ 'rinse'],VSokorelos,http://creativecommons.org/publicdomain/zero/1.0/,The sound of a dish washer from start to finish,98.0811,,7
141451,washer machine with efffect,https://freesound.org/people/qlevihirs/sounds/141451/,007 - Cleaning_Appliances,7,['machine'+ 'washer'+ 'reeverb'],qlevihirs,http://creativecommons.org/publicdomain/zero/1.0/,I put some reeverb effect on washer machine,5.13873,,2
489402,Dryer door opening and closing.m4a,https://freesound.org/people/more7859/sounds/489402/,007 - Cleaning_Appliances,7,['Dryer'+ 'door'+ 'dryer'+ 'closing'+ 'opening'],more7859,http://creativecommons.org/publicdomain/zero/1.0/,Dryer opening and closing. Recorded on iphone 6s.,27.0933,,6
412879,dryer,https://freesound.org/people/mediagruppen/sounds/412879/,007 - Cleaning_Appliances,7,['washer'+ 'dryer'+ 'laundry'+ 'clothes'],mediagruppen,http://creativecommons.org/licenses/by-nc/3.0/,dryer,233.092,55.6642249547 13.3528518677,6
631885,Tumble dryer start and run.wav,https://freesound.org/people/greatsoundstube/sounds/631885/,007 - Cleaning_Appliances,7,['beep'+ 'run'+ 'tumble'+ 'hum'+ 'drone'+ 'machine'+ 'start'+ 'dryer'+ 'cycle'],greatsoundstube,http://creativecommons.org/publicdomain/zero/1.0/,Tumble dryer beep to start and run.,55.2771,,5
533745,Dryer.WAV,https://freesound.org/people/jewelconnor/sounds/533745/,007 - Cleaning_Appliances,7,['machine'+ 'dryer'+ 'laundry'],jewelconnor,http://creativecommons.org/publicdomain/zero/1.0/,dryer,7.78739,,4
28003,Dryer2.wav,https://freesound.org/people/Konamiuss/sounds/28003/,007 - Cleaning_Appliances,7,['dryer'+ 'spin'],Konamiuss,http://creativecommons.org/publicdomain/zero/1.0/,This is a dryer.,11.97,,9
631886,Tumble dryer door open close.wav,https://freesound.org/people/greatsoundstube/sounds/631886/,007 - Cleaning_Appliances,7,['shut'+ 'door'+ 'opened'+ 'tumble'+ 'bang'+ 'dryer'+ 'closed'+ 'slam'+ 'close'+ 'latch'+ 'open'+ 'click'],greatsoundstube,http://creativecommons.org/publicdomain/zero/1.0/,Tumble dryer door being opened and closed.,11.8618,,9
