id,name,url,className,classID,tags,username,license,description,duration,geotags,fold
331395,"Biting, Crunchy, A.wav",https://freesound.org/people/InspectorJ/sounds/331395/,003 - Digestive,2,['Crunching'+ 'crunching'+ 'chew'+ 'Bite'+ 'Chewing'+ 'crisps'+ 'eating'+ 'crispy'+ 'Crunch'+ 'Eating'+ 'Food'+ 'bite'+ 'chewing'+ 'crunch'+ 'Crisp'+ 'food'+ 'Crunchy'+ 'Biting'+ 'Chew'+ 'crisp'+ 'crunchy'+ 'Crisps'+ 'biting'+ 'Crispy'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of biting into crunchy and crispy prawn crackers. The chewing has been edited out, the sounds are simply each initial (and loud) bite of the cracker. It was tasty.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Rain, Moderate, C.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 19th December 2015.

Note: Audio quality is always better when downloaded.",36.9185,,4
332407,"Biting, Crunchy, B.wav",https://freesound.org/people/InspectorJ/sounds/332407/,003 - Digestive,2,['Crunching'+ 'chew'+ 'Bite'+ 'Chewing'+ 'crisps'+ 'Crisp'+ 'crispy'+ 'crunching'+ 'Crunch'+ 'Eating'+ 'Food'+ 'bite'+ 'chewing'+ 'crunch'+ 'eating'+ 'food'+ 'Crunchy'+ 'Biting'+ 'Chew'+ 'crisp'+ 'crunchy'+ 'Crisps'+ 'biting'+ 'Crispy'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"More raw audio of biting into crunchy and crispy prawn crackers. The chewing has been edited out, the sounds are simply each initial (and loud) bite of the cracker. I couldn't resist ordering another Chinese takeaway. The last three crunches are continuous without any editing break in between.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Biting, Crunchy, B.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 30th December 2015. (Happy new year!)",36.0943,,5
467624,chew 3.wav,https://freesound.org/people/Luthien22/sounds/467624/,003 - Digestive,2,['crunch'+ 'eating'+ 'chew'+ 'crunchy'+ 'chewing'+ 'cereal'],Luthien22,http://creativecommons.org/publicdomain/zero/1.0/,Recording of a person eating rice puff cereal.,13.9472,,9
467626,chew 1.wav,https://freesound.org/people/Luthien22/sounds/467626/,003 - Digestive,2,['crunch'+ 'eating'+ 'chew'+ 'crunchy'+ 'chewing'+ 'cereal'],Luthien22,http://creativecommons.org/publicdomain/zero/1.0/,Recording of a person eating rice puff cereal.,8.06653,,9
332407,"Biting, Crunchy, B.wav",https://freesound.org/people/InspectorJ/sounds/332407/,003 - Digestive,2,['Crunching'+ 'chew'+ 'Bite'+ 'Chewing'+ 'crisps'+ 'Crisp'+ 'crispy'+ 'crunching'+ 'Crunch'+ 'Eating'+ 'Food'+ 'bite'+ 'chewing'+ 'crunch'+ 'eating'+ 'food'+ 'Crunchy'+ 'Biting'+ 'Chew'+ 'crisp'+ 'crunchy'+ 'Crisps'+ 'biting'+ 'Crispy'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"More raw audio of biting into crunchy and crispy prawn crackers. The chewing has been edited out, the sounds are simply each initial (and loud) bite of the cracker. I couldn't resist ordering another Chinese takeaway. The last three crunches are continuous without any editing break in between.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Biting, Crunchy, B.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 30th December 2015. (Happy new year!)",36.0943,,0
331395,"Biting, Crunchy, A.wav",https://freesound.org/people/InspectorJ/sounds/331395/,003 - Digestive,2,['Crunching'+ 'crunching'+ 'chew'+ 'Bite'+ 'Chewing'+ 'crisps'+ 'eating'+ 'crispy'+ 'Crunch'+ 'Eating'+ 'Food'+ 'bite'+ 'chewing'+ 'crunch'+ 'Crisp'+ 'food'+ 'Crunchy'+ 'Biting'+ 'Chew'+ 'crisp'+ 'crunchy'+ 'Crisps'+ 'biting'+ 'Crispy'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of biting into crunchy and crispy prawn crackers. The chewing has been edited out, the sounds are simply each initial (and loud) bite of the cracker. It was tasty.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Rain, Moderate, C.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 19th December 2015.

Note: Audio quality is always better when downloaded.",36.9185,,9
494568,Biting into an apple.wav,https://freesound.org/people/775noise/sounds/494568/,003 - Digestive,2,['foley'+ 'crunch'+ 'eating'+ 'field-recording'+ 'food'+ 'bite'+ 'pear'+ 'fruit'+ 'melon'+ 'biting'+ 'eat'+ 'apple'],775noise,http://creativecommons.org/publicdomain/zero/1.0/,Biting into an apple with a crunch,5.27639,,4
650918,Gargling 005.wav,https://freesound.org/people/frenkfurth/sounds/650918/,003 - Digestive,2,['general-noise'+ 'Holland'+ 'field-recoding'+ 'Gargling'+ 'morning'+ 'early'+ 'calm'+ 'embankment'+ 'waterfront'+ 'July'+ 'haven'],frenkfurth,http://creativecommons.org/publicdomain/zero/1.0/,Just my garglings in the morning or evning or ?,15.8948,,10
650913,Gargling 002.wav,https://freesound.org/people/frenkfurth/sounds/650913/,003 - Digestive,2,['general-noise'+ 'Holland'+ 'field-recoding'+ 'Gargling'+ 'morning'+ 'early'+ 'calm'+ 'embankment'+ 'waterfront'+ 'July'+ 'haven'],frenkfurth,http://creativecommons.org/publicdomain/zero/1.0/,Just my garglings in the morning or evning or ?,10.9664,,9
650920,Gargling 003.wav,https://freesound.org/people/frenkfurth/sounds/650920/,003 - Digestive,2,['general-noise'+ 'Holland'+ 'field-recoding'+ 'Gargling'+ 'morning'+ 'early'+ 'calm'+ 'embankment'+ 'waterfront'+ 'July'+ 'haven'],frenkfurth,http://creativecommons.org/publicdomain/zero/1.0/,Just my garglings in the morning or evning or ?,13.8226,,3
650919,Gargling 004.wav,https://freesound.org/people/frenkfurth/sounds/650919/,003 - Digestive,2,['general-noise'+ 'Holland'+ 'field-recoding'+ 'Gargling'+ 'morning'+ 'early'+ 'calm'+ 'embankment'+ 'waterfront'+ 'July'+ 'haven'],frenkfurth,http://creativecommons.org/publicdomain/zero/1.0/,Just my garglings in the morning or evning or ?,8.93258,,5
