id,name,url,className,classID,tags,username,license,description,duration,geotags,fold
558932,sofa.wav,https://freesound.org/people/Isabella.Pinzon.Varon/sounds/558932/,013 - Furniture,13,['sound'+ 'record'+ 'sofa'],Isabella.Pinzon.Varon,http://creativecommons.org/licenses/by/3.0/,Reclining sofa being activated,5.64313,,8
136611,Basdrum(Sofa).wav,https://freesound.org/people/TheSoundcatcher/sounds/136611/,013 - Furniture,13,['Sofa'+ 'Pickup'+ 'Basdrum'],TheSoundcatcher,http://creativecommons.org/licenses/by/3.0/,I recorded a hit on my sofa wit a contact mic... nice deep bas drum :),7.89267,,8
62472,sofa scratch_long.wav,https://freesound.org/people/bsumusictech/sounds/62472/,013 - Furniture,13,['brushing'+ 'rub'+ 'rubbing'+ 'scratch'+ 'sofa'+ 'swish'+ 'swishing'+ 'swishy'],bsumusictech,http://creativecommons.org/publicdomain/zero/1.0/,"Group KMM-
Recording of hands sliding over the fabric of a sofa.  Comparable to a swishing/ swirling sound.
Recorded with a Zoom H4 handheld recorder.  Normalized in Peak Pro 6.
",30.67,,3
62473,sofa scratch_short.wav,https://freesound.org/people/bsumusictech/sounds/62473/,013 - Furniture,13,['brushing'+ 'rub'+ 'rubbing'+ 'scratch'+ 'sofa'+ 'swish'+ 'swishing'+ 'swishy'],bsumusictech,http://creativecommons.org/publicdomain/zero/1.0/,"Group KMM-
Recording of hands sliding over the fabric of a sofa.  Comparable to a swishing/ swirling sound.
Recorded with a Zoom H4 handheld recorder.  Normalized in Peak Pro 6.
",26.6865,,2
435829,Fabric-Sofa-Rubbing-Wooshes_StereoSP_96000.wav,https://freesound.org/people/Sonicquinn/sounds/435829/,013 - Furniture,13,['fabric'+ 'rub'+ 'sofa'+ 'rubbing'+ 'woosh'+ 'cloth'+ 'stinger'],Sonicquinn,http://creativecommons.org/publicdomain/zero/1.0/,Creating wooshes from rubbing a sofa with a small metal device. Normalised.,7.07589,,4
435830,Fabric-Sofa-Rubbing-Movements_Mono_192000.wav,https://freesound.org/people/Sonicquinn/sounds/435830/,013 - Furniture,13,['rub'+ 'sofa'+ 'rubbing'+ 'rope'+ 'cloth'+ 'movement'+ 'movements'+ 'fabric'],Sonicquinn,http://creativecommons.org/publicdomain/zero/1.0/,"Close mic recording of a fabric sofa being rubbed with a metal device to generate thick, rope-like cloth movements",68.5,,1
501679,LEATHER COACH.wav,https://freesound.org/people/tsakanemashaba/sounds/501679/,013 - Furniture,13,['LEATHER'+ 'SOFA'+ 'SEAT'+ 'OWI'+ 'COUCH'],tsakanemashaba,http://creativecommons.org/licenses/by-nc/3.0/,a leather sofa or couch. sitting and squeezing,26.1919,,6
532713,MOVIMIENTO SOFA.wav,https://freesound.org/people/ainaqueentana/sounds/532713/,013 - Furniture,13,['shudder'+ 'leather'+ 'sofa'+ 'move'+ 'texture'+ 'couch'+ 'motion'+ 'rumbling'+ 'stuff'+ 'moving'+ 'movement'],ainaqueentana,http://creativecommons.org/publicdomain/zero/1.0/,"Moving in a leather couch, high quality",28.9901,,4
556713,Squeaking Door,https://freesound.org/people/NachtmahrTV/sounds/556713/,013 - Furniture,13,['gate'+ 'cellar'+ 'Door'+ 'opening'+ 'wooden'+ 'squeaky'+ 'Squeaking'+ 'door'+ 'squeak'+ 'wood'+ 'discordant'+ 'cacophonous'+ 'squeeky'+ 'close'+ 'closing'+ 'open'],NachtmahrTV,http://creativecommons.org/publicdomain/zero/1.0/,Squeaking Door,71.7147,,1
233389,Automatic_door.wav,https://freesound.org/people/laiaoreka/sounds/233389/,013 - Furniture,13,['door'+ 'Open'+ 'Street'+ 'campus-upf'+ 'Close'+ 'Tallers'+ 'Door'+ 'Automatic'+ 'UPF-CS14'],laiaoreka,http://creativecommons.org/licenses/by/3.0/,"This sound shows an automatic door opening when someone pass through it. We can listen some wind and background noise.
The sound was recorded asking to someone to go out to the street using the automatic door using Edirol R09HR equipment in format .wav and 44.1 kHz.
It was recorded in the entrance of Tallers building in Campus Poblenou, UPF.",7.88662,41.4042113643 2.19392359257,8
