id,name,url,className,classID,tags,username,license,description,duration,geotags,fold
378698,Rubber Hammer,https://freesound.org/people/13FPansk%C3%A1_Tolar_David/sounds/378698/,014 - Tools,14,['Rubber'+ 'hammer'+ 'Hammer'+ 'drill'],13FPanská_Tolar_David,http://creativecommons.org/publicdomain/zero/1.0/,Rubber hammer banging panel,12.656,,2
619074,Jack Hammer sound.mp3,https://freesound.org/people/mrrap4food/sounds/619074/,014 - Tools,14,['building'+ 'constructing'+ 'Hammer'+ 'workers'+ 'work'+ 'build'+ 'construction'+ 'Jack'+ 'drill'+ 'builders'+ 'demolition'+ 'hammering'+ 'hammer'+ 'drilling'],mrrap4food,http://creativecommons.org/publicdomain/zero/1.0/,Jack Hammer,71.7147,,9
168966,Handwerker.mp3,https://freesound.org/people/Herr%20M/sounds/168966/,014 - Tools,14,['bohrmaschiene'+ 'craftsman'+ 'hammer'+ 'drill'+ 'Hammer'+ 'handwerker'],Herr M,http://creativecommons.org/publicdomain/zero/1.0/,craftsman,40.8435,,0
400991,"Construction, Jackhammer Excavator, A.wav",https://freesound.org/people/InspectorJ/sounds/400991/,014 - Tools,14,['Excavator'+ 'Digging'+ 'hammer'+ 'excavator'+ 'Construction'+ 'Jack'+ 'digging'+ 'Jack-hammer'+ 'Digger'+ 'Drilling'+ 'Dig'+ 'construction'+ 'drilling'+ 'Drill'+ 'jack-hammer'+ 'Jackhammer'+ 'digger'+ 'dig'+ 'drill'+ 'jackhammer'+ 'Hammer'+ 'jack'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of construction work. An excavator equipped with a jackhammer is drilling into concrete. Recorded about 10 meters away from the excavator at the Jacksonville Zoo in Florida where the new ape exhibit is being constructed.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Construction, Jackhammer Excavator, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 22nd August 2017.

Note: Audio quality is always better when downloaded.",16.7676,,3
592111,HAMMER_2.wav,https://freesound.org/people/pablodavilla/sounds/592111/,014 - Tools,14,['steel'+ 'metal'+ 'clang'+ 'metallic'+ 'iron'+ 'blacksmith'+ 'hammer'],pablodavilla,http://creativecommons.org/publicdomain/zero/1.0/,Sound from a blacksmith hitting metals with hammer.,9.844,,5
592112,HAMMER_1.wav,https://freesound.org/people/pablodavilla/sounds/592112/,014 - Tools,14,['steel'+ 'metal'+ 'clang'+ 'metallic'+ 'iron'+ 'blacksmith'+ 'hammer'],pablodavilla,http://creativecommons.org/publicdomain/zero/1.0/,Sound from a blacksmith hitting metals with hammer.,8.41067,,7
17907,hammering11.wav,https://freesound.org/people/WIM/sounds/17907/,014 - Tools,14,['building'+ 'construction'+ 'environmental-sounds-research'+ 'field-recording'+ 'hammer'],WIM,http://creativecommons.org/licenses/by/3.0/,Sounds of someone on a construction site using a hammer. Unprocessed field recording.,7.83252,,2
17908,hammering12.wav,https://freesound.org/people/WIM/sounds/17908/,014 - Tools,14,['building'+ 'construction'+ 'environmental-sounds-research'+ 'field-recording'+ 'hammer'],WIM,http://creativecommons.org/licenses/by/3.0/,Sounds of someone on a construction site using a hammer. Unprocessed field recording.,6.91884,,7
17906,hammering10.wav,https://freesound.org/people/WIM/sounds/17906/,014 - Tools,14,['building'+ 'construction'+ 'environmental-sounds-research'+ 'field-recording'+ 'hammer'],WIM,http://creativecommons.org/licenses/by/3.0/,Sounds of someone on a construction site using a hammer. Unprocessed field recording.,7.57054,,2
337814,hammer v3.wav,https://freesound.org/people/blukotek/sounds/337814/,014 - Tools,14,['tools'+ 'nails'+ 'wood'+ 'board'+ 'hammer'+ 'hammering'],blukotek,http://creativecommons.org/publicdomain/zero/1.0/,"driving nails

Other places 
Recorder: ZOOM H2 / other portable device 
Software: Pro Tools / Audacity / Ocenaudio

Your comments are greatly appreciated
Cheers, Piotr Zaczek",11.776,,0
337815,hammer v2.wav,https://freesound.org/people/blukotek/sounds/337815/,014 - Tools,14,['tools'+ 'nails'+ 'wood'+ 'board'+ 'hammer'+ 'hammering'],blukotek,http://creativecommons.org/publicdomain/zero/1.0/,"driving nails

Other places 
Recorder: ZOOM H2 / other portable device 
Software: Pro Tools / Audacity / Ocenaudio

Your comments are greatly appreciated
Cheers, Piotr Zaczek",5.97333,,5
271640,sing 1.aif,https://freesound.org/people/Rgoldkind/sounds/271640/,014 - Tools,14,['shady'+ 'macabre'+ 'saw'+ 'horror'+ 'phantasm'+ 'atoms'+ 'wierd'+ 'sing'+ 'Saw'+ 'musical'],Rgoldkind,http://creativecommons.org/publicdomain/zero/1.0/,Musical Saw,8.0,,5
418042,"Chainsaw, Moderately Distant, A.wav",https://freesound.org/people/InspectorJ/sounds/418042/,014 - Tools,14,['saw'+ 'tree'+ 'chainsaw'+ 'distant'+ 'Chainsaw'+ 'Tree'+ 'Distant'+ 'Saw'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Audio of a large tree branch being sawed with a chainsaw near the University of Surrey lake. I have reduced frequencies below 100Hz due to wind interference. The recorder was approximately 20 meters from the chainsaw.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Chainsaw, Moderately Distant, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""Zoom H6 (XY) recorder"" on 9th February 2018.

Note: Audio quality is always better when downloaded.",42.5401,51.2430589449 -0.586915612221,4
9887,WoodSaw2.wav,https://freesound.org/people/Pingel/sounds/9887/,014 - Tools,14,['carpenter'+ 'saw'+ 'wood'],Pingel,http://creativecommons.org/publicdomain/zero/1.0/,Sawing a piece of wood. Recorder with a Behringer ECM8000.,33.5693,,0
85091,Helicopter Saw.wav,https://freesound.org/people/Blackie666/sounds/85091/,014 - Tools,14,['detune'+ 'reese'+ 'saw'],Blackie666,http://creativecommons.org/publicdomain/zero/1.0/,Other saw wave sounds and variations of reese.wav,15.36,,5
