id,name,url,className,classID,tags,username,license,description,duration,geotags,fold
428956,"Drone, Dishwasher, A.wav",https://freesound.org/people/InspectorJ/sounds/428956/,007 - Cleaning_Appliances,6,['Dishwasher'+ 'Partial'+ 'fundamental'+ 'Series'+ 'Harmonic'+ 'harmonic'+ 'Partials'+ 'Drone'+ 'partials'+ 'Harmonics'+ 'Fundamental'+ 'series'+ 'dishwasher'+ 'drone'+ 'partial'+ 'harmonics'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of a dishwasher droning while active. Looking at this through a spectrogram reveals a huge amount of harmonics and partials based around a fundamental of 100Hz, which is why this sound is so alluring to hum along with. I highly recommend listening with headphones and trying to hum at a perfect 5th above the low drone - the ""fundamental"" - and feel your voice resonating with this universal principal of sound - the harmonic series.

<b>This sound is <u>NOT</u> in the public domain. You <u>MUST</u> attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Drone, Dishwasher, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""Zoom H6 (XY) recorder"" on 10th May 2018.

Note: Audio quality is always better when downloaded.",31.0924,,8
207428,Dishwasher,https://freesound.org/people/tomhannen/sounds/207428/,007 - Cleaning_Appliances,6,['dishwasher'+ 'noise'+ 'repetitive'+ 'water'+ 'ambient'+ 'dish'+ 'white'+ 'washer'],tomhannen,http://creativecommons.org/publicdomain/zero/1.0/,A dishwasher washing some plates.,123.739,51.5113065759 -0.0727844238281,7
525191,dishwasher.wav,https://freesound.org/people/gorkem.yilmaz/sounds/525191/,007 - Cleaning_Appliances,6,['machine'+ 'wash'+ 'dishwasher'+ 'cleaning'],gorkem.yilmaz,http://creativecommons.org/publicdomain/zero/1.0/,a dishwasher machine,52.0127,37.7600370155 27.2636560205,4
525190,dishwasher2.wav,https://freesound.org/people/gorkem.yilmaz/sounds/525190/,007 - Cleaning_Appliances,6,['machine'+ 'wash'+ 'dishwasher'+ 'cleaning'],gorkem.yilmaz,http://creativecommons.org/publicdomain/zero/1.0/,a dishwasher machine,42.3532,37.7619041015 27.2627882616,1
192353,Bosch Dishwasher Motor - Base of Machine Close.wav,https://freesound.org/people/aaronstar/sounds/192353/,007 - Cleaning_Appliances,6,['Dishwasher'+ 'field-recording'+ 'close'+ 'power-scrub-cycle'+ 'electric-motor'+ 'Bosch'],aaronstar,http://creativecommons.org/publicdomain/zero/1.0/,Bosch dishwasher sound close with loud motor sound.  Recorded with Zoom H4n built in mics. ,62.392,35.514203407 -105.939230919,2
192352,Bosch Dishwasher Sound - 3 Feet in Front.wav,https://freesound.org/people/aaronstar/sounds/192352/,007 - Cleaning_Appliances,6,['power-scrub-cycle'+ 'dishwasher'+ 'bosch'+ 'field-recording'],aaronstar,http://creativecommons.org/publicdomain/zero/1.0/,"Just motor sounds of dishwasher running in kitchen with hard floor, and hard lid.  Recorded with Zoom H4n built in mics.",61.4813,35.5142383388 -105.939209461,6
50704,Dishwasher.wav,https://freesound.org/people/RutgerMuller/sounds/50704/,007 - Cleaning_Appliances,6,['cleaner'+ 'cleaning'+ 'dish'+ 'dishwasher'+ 'fork'+ 'knife'+ 'machine'+ 'muffled'+ 'plate'+ 'spoon'+ 'wash'+ 'washer'+ 'washing'+ 'water'+ 'wet'],RutgerMuller,http://creativecommons.org/publicdomain/zero/1.0/,"I placed the microphone against the bottom of a running dishwasher. The sound goes through a couple of stages. Mostly muffled wet sounds.

Recorded With Edirol R-1 &amp; Sennheiser ME66.",210.26,,5
651208,Dishwasher,https://freesound.org/people/RCSound99/sounds/651208/,007 - Cleaning_Appliances,6,['water'+ 'Dishwasher'+ 'cleaning'+ 'kitchen'],RCSound99,http://creativecommons.org/publicdomain/zero/1.0/,A dishwasher running,34.5281,,0
463702,Dishwasher,https://freesound.org/people/Fabrizio84/sounds/463702/,007 - Cleaning_Appliances,6,['dishwasher'+ 'noise'+ 'washing'],Fabrizio84,http://creativecommons.org/publicdomain/zero/1.0/,Dishwasher operating.,79.6876,,10
50705,Dishwasher Door.wav,https://freesound.org/people/RutgerMuller/sounds/50705/,007 - Cleaning_Appliances,6,['button'+ 'close'+ 'closing'+ 'dish'+ 'dishwasher'+ 'door'+ 'flap'+ 'machine'+ 'open'+ 'opening'+ 'sounds'+ 'wash'],RutgerMuller,http://creativecommons.org/publicdomain/zero/1.0/,"Opening and closing the dishwasher's door a couple of times. I pressed the start/stop button too I believe.

Recorded With Edirol R-1 &amp; Sennheiser ME66.",34.9153,,2
328785,creaking dishwasher_1.wav,https://freesound.org/people/barkenov/sounds/328785/,007 - Cleaning_Appliances,6,['squeak'+ 'creak'+ 'dishwasher'+ 'door'],barkenov,http://creativecommons.org/publicdomain/zero/1.0/,"My dishwasher's door is really creaking... Sounded very interesting to me. 
Mono File. Recorded w/ Senheiser K6 Mic (cardioid cell) and Marantz PMD 661. ",24.5714,,10
328784,creaking dishwasher_2.wav,https://freesound.org/people/barkenov/sounds/328784/,007 - Cleaning_Appliances,6,['squeak'+ 'creak'+ 'dishwasher'+ 'door'],barkenov,http://creativecommons.org/publicdomain/zero/1.0/,"My dishwasher's door is really creaking... Sounded very interesting to me. 
Mono File. Recorded w/ Senheiser K6 Mic (cardioid cell) and Marantz PMD 661. ",24.3482,,0
328786,Creaking dishwasher 4_ST.wav,https://freesound.org/people/barkenov/sounds/328786/,007 - Cleaning_Appliances,6,['squeak'+ 'creak'+ 'dishwasher'+ 'door'],barkenov,http://creativecommons.org/publicdomain/zero/1.0/,"My dishwasher's door is really creaking... Sounded very interesting to me. 
Stereo File Recorded w/ Marantz PMD 661, Int Mic.  ",34.7466,,0
543035,dishwasher,https://freesound.org/people/gecop/sounds/543035/,007 - Cleaning_Appliances,6,['interior'+ 'kitchen'+ 'machine'+ 'dishwasher'],gecop,http://creativecommons.org/publicdomain/zero/1.0/,field recording in stereo of a working dishwasher in a quiet kitchen,28.0577,,3
