name,url,uuid,tags,username,license,description,duration,geotags
microwave cycle with ding 1.wav,https://freesound.org/people/greatsoundstube/sounds/628599/,c72fda6f-ed01-4410-afca-f8f23a1f2b0c,['ding'+ 'electronic'+ 'bell'+ 'hum'+ 'microwave'+ 'drone'+ 'whir'],greatsoundstube,http://creativecommons.org/publicdomain/zero/1.0/,Microwave cycle with ding at the end.,30.5204,
Microwave running stopping,https://freesound.org/people/supersnd/sounds/400682/,479e0e18-c326-443b-a4f8-628cb0664d2a,['food'+ 'tool'+ 'cooking'+ 'microwave'+ 'wave'+ 'micro'+ 'oven'+ 'cook'+ 'electronic'+ 'kitchen'],supersnd,http://creativecommons.org/publicdomain/zero/1.0/,Sound of a microwave running and stopping. Recorded with an iPhone SE and edited with GoldWave.,60.2498,
microwave.wav,https://freesound.org/people/anagar/sounds/267961/,6a3f5503-aba6-4a6a-a1cc-6195508543af,['turn'+ 'encendido'+ 'microwave'+ 'microondas'],anagar,http://creativecommons.org/publicdomain/zero/1.0/,Microwave,8.89446,
Microwave.WAV,https://freesound.org/people/jewelconnor/sounds/533754/,c4c39d1a-34da-4539-8806-501c4d5fe002,['hum'+ 'circuit'+ 'microwave'],jewelconnor,http://creativecommons.org/publicdomain/zero/1.0/,microwave,5.56989,
Microwave.wav,https://freesound.org/people/cloe.king/sounds/452791/,f164aa09-27a0-4d3d-ae37-bfab036f03e3,['pop-corn'+ 'contact-microphone'+ 'microwave'],cloe.king,http://creativecommons.org/publicdomain/zero/1.0/,microwave,16.5065,
microwave;brrr.wav,https://freesound.org/people/Abir19/sounds/629514/,4c6a906d-91e3-401e-a7dc-d057a8d9528e,['buttons'+ 'power'+ 'microwave'+ 'everyday'],Abir19,http://creativecommons.org/publicdomain/zero/1.0/,Microwave.,19.7653,
Microwave.m4a,https://freesound.org/people/sofiamadeira/sounds/508690/,2aefd831-912b-4585-8a50-0a37b88d1ce6,['cooking'+ 'microwave'+ 'kitchen'],sofiamadeira,http://creativecommons.org/publicdomain/zero/1.0/,Microwave,8.256,
Microwave 01.wav,https://freesound.org/people/JarredGibb/sounds/219483/,6fad4b76-9a84-4d53-a607-9cc1774947b5,['Household'+ 'Cooking'+ 'Microwave'+ 'Kitchen'],JarredGibb,http://creativecommons.org/publicdomain/zero/1.0/,A microwave,34.5333,
Microwave,https://freesound.org/people/AntoineRomo/sounds/587043/,be57e098-84f5-4a46-9caf-c7bba5120ffa,['Machine'+ 'Warm'+ 'Heating-Up-Food'+ 'Kitchen'+ 'Microwave'],AntoineRomo,http://creativecommons.org/publicdomain/zero/1.0/,Microwave sounds,9.56662,
Oven 01.wav,https://freesound.org/people/JarredGibb/sounds/219505/,e6932faf-08c5-42cc-8151-91ae61c79ce5,['cooking'+ 'domestic-sounds'+ 'Oven'+ 'kitchen'],JarredGibb,http://creativecommons.org/publicdomain/zero/1.0/,An oven,24.3498,
