name,url,uuid,tags,username,license,description,duration,geotags
"Biting, Crunchy, B.wav",https://freesound.org/people/InspectorJ/sounds/332407/,729650fa-d7d6-4d7b-bf45-b8501c3e4741,['Crunching'+ 'chew'+ 'Bite'+ 'Chewing'+ 'crisps'+ 'Crisp'+ 'crispy'+ 'crunching'+ 'Crunch'+ 'Eating'+ 'Food'+ 'bite'+ 'chewing'+ 'crunch'+ 'eating'+ 'food'+ 'Crunchy'+ 'Biting'+ 'Chew'+ 'crisp'+ 'crunchy'+ 'Crisps'+ 'biting'+ 'Crispy'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"More raw audio of biting into crunchy and crispy prawn crackers. The chewing has been edited out, the sounds are simply each initial (and loud) bite of the cracker. I couldn't resist ordering another Chinese takeaway. The last three crunches are continuous without any editing break in between.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Biting, Crunchy, B.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 30th December 2015. (Happy new year!)",36.0943,
"Biting, Crunchy, A.wav",https://freesound.org/people/InspectorJ/sounds/331395/,9a328196-144b-4977-8247-4dcdd376156e,['Crunching'+ 'crunching'+ 'chew'+ 'Bite'+ 'Chewing'+ 'crisps'+ 'eating'+ 'crispy'+ 'Crunch'+ 'Eating'+ 'Food'+ 'bite'+ 'chewing'+ 'crunch'+ 'Crisp'+ 'food'+ 'Crunchy'+ 'Biting'+ 'Chew'+ 'crisp'+ 'crunchy'+ 'Crisps'+ 'biting'+ 'Crispy'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of biting into crunchy and crispy prawn crackers. The chewing has been edited out, the sounds are simply each initial (and loud) bite of the cracker. It was tasty.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Rain, Moderate, C.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 19th December 2015.

Note: Audio quality is always better when downloaded.",36.9185,
chew 1.wav,https://freesound.org/people/Luthien22/sounds/467626/,71e70adf-898a-4dd9-bb26-adc7da34c9dd,['crunch'+ 'eating'+ 'chew'+ 'crunchy'+ 'chewing'+ 'cereal'],Luthien22,http://creativecommons.org/publicdomain/zero/1.0/,Recording of a person eating rice puff cereal.,8.06653,
chew 4.wav,https://freesound.org/people/Luthien22/sounds/467623/,4b5a1eba-0365-4cad-8087-b17b50dd83c1,['crunch'+ 'eating'+ 'chew'+ 'crunchy'+ 'chewing'+ 'cereal'],Luthien22,http://creativecommons.org/publicdomain/zero/1.0/,Recording of a person eating rice puff cereal.,15.9156,
"Biting, Crunchy, B.wav",https://freesound.org/people/InspectorJ/sounds/332407/,e706b790-9627-43f1-bd98-7f7c23f0209b,['Crunching'+ 'chew'+ 'Bite'+ 'Chewing'+ 'crisps'+ 'Crisp'+ 'crispy'+ 'crunching'+ 'Crunch'+ 'Eating'+ 'Food'+ 'bite'+ 'chewing'+ 'crunch'+ 'eating'+ 'food'+ 'Crunchy'+ 'Biting'+ 'Chew'+ 'crisp'+ 'crunchy'+ 'Crisps'+ 'biting'+ 'Crispy'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"More raw audio of biting into crunchy and crispy prawn crackers. The chewing has been edited out, the sounds are simply each initial (and loud) bite of the cracker. I couldn't resist ordering another Chinese takeaway. The last three crunches are continuous without any editing break in between.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Biting, Crunchy, B.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 30th December 2015. (Happy new year!)",36.0943,
"Biting, Crunchy, A.wav",https://freesound.org/people/InspectorJ/sounds/331395/,2bf58bbc-7439-4347-9a97-9ffff23812a1,['Crunching'+ 'crunching'+ 'chew'+ 'Bite'+ 'Chewing'+ 'crisps'+ 'eating'+ 'crispy'+ 'Crunch'+ 'Eating'+ 'Food'+ 'bite'+ 'chewing'+ 'crunch'+ 'Crisp'+ 'food'+ 'Crunchy'+ 'Biting'+ 'Chew'+ 'crisp'+ 'crunchy'+ 'Crisps'+ 'biting'+ 'Crispy'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of biting into crunchy and crispy prawn crackers. The chewing has been edited out, the sounds are simply each initial (and loud) bite of the cracker. It was tasty.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Rain, Moderate, C.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 19th December 2015.

Note: Audio quality is always better when downloaded.",36.9185,
Biting into an apple.wav,https://freesound.org/people/775noise/sounds/494568/,247a1f6e-9632-49de-a035-9c42dc2d1339,['foley'+ 'crunch'+ 'eating'+ 'field-recording'+ 'food'+ 'bite'+ 'pear'+ 'fruit'+ 'melon'+ 'biting'+ 'eat'+ 'apple'],775noise,http://creativecommons.org/publicdomain/zero/1.0/,Biting into an apple with a crunch,5.27639,
Gargling 003.wav,https://freesound.org/people/frenkfurth/sounds/650920/,30c1b989-5070-4c7f-b094-4c93b7bb339f,['general-noise'+ 'Holland'+ 'field-recoding'+ 'Gargling'+ 'morning'+ 'early'+ 'calm'+ 'embankment'+ 'waterfront'+ 'July'+ 'haven'],frenkfurth,http://creativecommons.org/publicdomain/zero/1.0/,Just my garglings in the morning or evning or ?,13.8226,
Gargling 002.wav,https://freesound.org/people/frenkfurth/sounds/650913/,e3df64c4-52cd-47df-aa24-3fd5b938e486,['general-noise'+ 'Holland'+ 'field-recoding'+ 'Gargling'+ 'morning'+ 'early'+ 'calm'+ 'embankment'+ 'waterfront'+ 'July'+ 'haven'],frenkfurth,http://creativecommons.org/publicdomain/zero/1.0/,Just my garglings in the morning or evning or ?,10.9664,
Gargling 005.wav,https://freesound.org/people/frenkfurth/sounds/650918/,cce33bce-aabd-4946-a3a6-6e53cd3f8b82,['general-noise'+ 'Holland'+ 'field-recoding'+ 'Gargling'+ 'morning'+ 'early'+ 'calm'+ 'embankment'+ 'waterfront'+ 'July'+ 'haven'],frenkfurth,http://creativecommons.org/publicdomain/zero/1.0/,Just my garglings in the morning or evning or ?,15.8948,
