name,url,uuid,tags,username,license,description,duration,geotags
moving small box.wav,https://freesound.org/people/dynamique/sounds/554737/,ce27098a-7811-4266-87aa-d3fd08bd93e9,['box'+ 'case'+ 'handling'+ 'floor'+ 'wooden'+ 'light'+ 'object'+ 'item'+ 'moving'+ 'table'+ 'small'+ 'putting'],dynamique,http://creativecommons.org/publicdomain/zero/1.0/,The sound of someone moving a very small box on the floor (or a table).,65.256,
moving tiny metallic box.wav,https://freesound.org/people/lartti/sounds/511657/,4affed5d-9b9c-4dd6-8d1c-f9adbf19607a,['box'+ 'moving'+ 'Metallic'],lartti,http://creativecommons.org/publicdomain/zero/1.0/,Me moving metallic boc at the table. Recorded with Olympus LS 14.,6.00288,
05 Cardboard Box Opening Flaps.mp3,https://freesound.org/people/Coral_Island_Studios/sounds/459428/,8deb7bb6-5515-4613-85bb-81eda3cf8340,['box'+ 'foley'+ 'handling'+ 'paper'+ 'moving'+ 'scooting'+ 'cardboard'],Coral_Island_Studios,http://creativecommons.org/publicdomain/zero/1.0/,"cardboard, paper, box, foley, moving, scooting, handling,",6.25739,
11 Carboard Box Folding.mp3,https://freesound.org/people/Coral_Island_Studios/sounds/459442/,dc9d632b-e494-4c98-8482-a568cbbcd6b7,['box'+ 'foley'+ 'handling'+ 'paper'+ 'moving'+ 'scooting'+ 'cardboard'],Coral_Island_Studios,http://creativecommons.org/publicdomain/zero/1.0/,"cardboard, paper, box, foley, moving, scooting, handling,",9.33984,
18 Cardboard Box Unfolding Flaps.mp3,https://freesound.org/people/Coral_Island_Studios/sounds/459443/,9984805d-0a5e-46ee-9f06-fa4ec55db9b6,['box'+ 'foley'+ 'handling'+ 'paper'+ 'moving'+ 'scooting'+ 'cardboard'],Coral_Island_Studios,http://creativecommons.org/publicdomain/zero/1.0/,"cardboard, paper, box, foley, moving, scooting, handling,",5.97005,
Cardboard Box.wav,https://freesound.org/people/et_graham/sounds/366317/,940dc08a-1a43-45c5-a846-af7d0b19f440,['box'+ 'OWI'+ 'opening'+ 'searching'+ 'variation'+ 'cement-surface'+ 'moving'+ 'closing'+ 'cardboard'],et_graham,http://creativecommons.org/licenses/by-nc/3.0/,"Recording of someone searching through a cardboard box for something. Opening and closing the box, moving it around, with different variations.",17.4291,
Dropping Coins,https://freesound.org/people/1histori/sounds/412906/,9a4e8ae6-ea90-4389-83b7-ddc175a36a58,['gold'+ 'money'+ 'Coins'+ 'trade'+ 'currency'+ 'Dropping'+ 'dropped'+ 'pay'+ 'coins'+ 'dropping'+ 'roll'+ 'diamond'+ 'nickel'+ 'dime'+ 'penny'+ 'fall'+ 'coin'+ 'payment'+ 'change'+ 'euro'+ 'drop'+ 'metal'+ 'cash'+ 'quarter'],1histori,https://creativecommons.org/licenses/by/4.0/,"Dropping coins on other coins. 
Enjoy!",6.7664,
21 Coins jar; glass jar with coins; near.wav,https://freesound.org/people/juanlopz08/sounds/389505/,fe6414be-a8c7-4bd7-a1e6-c1bb02227de1,['dry'+ 'coins'+ 'Coins'+ 'jar'+ 'glass'+ 'near'],juanlopz08,http://creativecommons.org/licenses/by/3.0/,Coins jar; glass jar with coins; near,17.1,
FOL Bottle Coins 01.wav,https://freesound.org/people/BitDeep/sounds/471606/,431bc3f5-986d-470e-a29a-5181f4913869,['coins'+ 'money'+ 'Coins'+ 'cash'+ 'Falls'+ 'Piggy'+ 'bank'],BitDeep,http://creativecommons.org/licenses/by-nc/3.0/,Coins between in a bottle.,10.8167,
FX_Coins.wav,https://freesound.org/people/Haykrich/sounds/401539/,52ad2f40-594d-4f25-8f72-119421132502,['stones'+ 'Coins'+ 'rustling'+ 'crumbling'+ 'footsteps'+ 'coins'+ 'packet'+ 'rocks'+ 'environment'+ 'running'+ 'steps'+ 'foot'+ 'shaking'+ 'feet'+ 'walking'+ 'OWI'],Haykrich,https://creativecommons.org/licenses/by-nc/4.0/,"A coin box that was shook around to resemble the sound of footsteps on gravel or snow, recorded using a K-2 microphone",7.0341,
