name,url,uuid,tags,username,license,description,duration,geotags
Mouth Rise.wav,https://freesound.org/people/gingersnap9900/sounds/218428/,c08a75bb-8390-4885-af7f-27c631cb0ff4,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene ,26.5,
Brushing teeth.wav,https://freesound.org/people/gingersnap9900/sounds/218426/,46f68085-90f9-42b5-b549-9be6cffe0349,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene ,12.972,
chew.wav,https://freesound.org/people/gingersnap9900/sounds/218436/,9db2b572-b979-453c-813a-9560dfef412e,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene ,11.0,
Gargling 1.wav,https://freesound.org/people/gingersnap9900/sounds/218424/,a4d89795-5bf0-41f4-992f-1a1519fd512f,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene ,8.0,
Grind.wav,https://freesound.org/people/gingersnap9900/sounds/218430/,7c8ce0dc-4831-4f06-9d4b-5c684fb717e8,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene ,7.0,
Gargling 2.wav,https://freesound.org/people/gingersnap9900/sounds/218431/,245d4f50-7526-4077-8afa-68bd650c6720,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene ,15.352,
Water Faucet 1.wav,https://freesound.org/people/gingersnap9900/sounds/218435/,08862958-28d4-47f5-b39d-ef3b556f1651,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene ,45.612,
Slurp in.wav,https://freesound.org/people/gingersnap9900/sounds/218433/,f5bcd62c-9924-4d6d-a9d5-98f95e679638,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene ,12.23,
Water Faucet 2.wav,https://freesound.org/people/gingersnap9900/sounds/218434/,303e246f-e674-458b-b5a2-fe0e086cce3b,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene ,14.5,
Boiling Water.wav,https://freesound.org/people/gingersnap9900/sounds/218427/,3ea3b26b-a049-42ba-9dcd-9c9611702031,['water'+ 'dental'+ 'hygiene'+ 'cleaning'],gingersnap9900,http://creativecommons.org/licenses/by/3.0/,dental hygiene dental h,15.412,
TeethCleaning_01_G.wav,https://freesound.org/people/Trond_Berntsen/sounds/623879/,b4c467a4-ba47-4520-b5b1-9fc8be3fd72d,['brushing'+ 'bathroom'+ 'toothpaste'+ 'toothbrush'+ 'hygiene'+ 'health'+ 'cleaning'+ 'teeth'+ 'care'+ 'Teeth-cleaning'+ 'brush'],Trond_Berntsen,https://creativecommons.org/licenses/by/4.0/,The sound of brushing teeth with toothpaste.,327.009,
toothbrush.wav,https://freesound.org/people/noisesounds/sounds/333380/,3e2c40d6-1b4b-4978-90d0-5cab08fe8082,['electric'+ 'domestic'+ 'machine'+ 'hygiene'+ 'cleaning'+ 'motor'],noisesounds,http://creativecommons.org/publicdomain/zero/1.0/,toothbrush_noise_collector,7.9151,
VACCUM_SWEEPER.WAV,https://freesound.org/people/dansotak/sounds/137416/,0fa5057c-0689-4efb-b8db-bb0211aa5c28,['sweeper'+ 'vaccum'+ 'vaccum-running'],dansotak,http://creativecommons.org/publicdomain/zero/1.0/,running a vaccum sweeper,91.264,
Common Disorder (Vaccum Reduct),https://freesound.org/people/the_odds/sounds/206019/,33cdb19b-2a8a-48da-980e-83992718a36e,['inside'+ 'bass'+ 'space'+ 'fx'+ 'odds'+ 'vaccum'+ 'deep'+ 'effect'+ 'dark'+ 'common'+ 'field-recording'+ 'black'+ 'cavern'+ 'ambient'+ 'disorder'+ 'reduct'+ 'cavernous'],the_odds,http://creativecommons.org/publicdomain/zero/1.0/,"Common Disorder re-recorded.

I deleted a major part of the original ""Common Disorder"".

A little echo is added here.",126.637,
Shopvac,https://freesound.org/people/Dnab55/sounds/129347/,79145d6d-a77c-4703-b7b1-ec56b0ab35c4,['ShopVac'+ 'Vaccum'+ 'Cleaning'],Dnab55,http://creativecommons.org/publicdomain/zero/1.0/,just a clip of my shopvac while I was vaccuming my studio :),27.1557,
vaccumwhirr_01.wav,https://freesound.org/people/xtrgamr/sounds/223744/,ce75bac3-7071-4888-849d-3480d8610226,['oreck'+ 'vaccum'+ 'whirr'],xtrgamr,https://creativecommons.org/licenses/by/4.0/,"Oreck cord-free electric broom, 2 motor system, being turned on, then off. The sound was recorded by a CA desktop microphone and was amplified using Audacity.",7.56971,
Vacuum cleaner,https://freesound.org/people/MariaMNobre/sounds/424735/,a1309c8a-6d43-427f-83d4-1afcf280bed0,['trash'+ 'Vaccum'+ 'rubbish'+ 'Kitchen'],MariaMNobre,http://creativecommons.org/licenses/by/3.0/,Sound of vacuum cleaner,7.59467,38.7450211002 -9.20374095091
Vacuum cleaner,https://freesound.org/people/Metzik/sounds/560542/,7834afae-dbf2-4d3d-904d-4cb1c45a96d6,['lid'+ 'cleaner'+ 'extend'+ 'handling'+ 'cord'+ 'telescope'+ 'glide'+ 'rattle'+ 'button'+ 'Vaccum'+ 'sliding'+ 'pipe'+ 'slide'+ 'noise'+ 'brush'+ 'retract'+ 'close'+ 'sounds'+ 'open'+ 'click'+ 'out'],Metzik,https://creativecommons.org/licenses/by/4.0/,"Recorded a vacuum cleaner, but not the usual vauum sound. These are handling sounds, button clicks, open/close lids, extend/retract pipe, cord out/in etc.",375.929,
Vent thrumming,https://freesound.org/people/Veridiansunrise/sounds/321118/,7ee54218-f964-497c-a953-e699ea89bf7a,['Vent'+ 'plant'+ 'industrial'+ 'robotic'+ 'factory'+ 'vaccum'+ 'machine'+ 'machinery'+ 'mechanical'+ 'Air'],Veridiansunrise,https://creativecommons.org/licenses/by/4.0/,A weird churning sound coming from the vent of a bathroom in New Jersey,23.0862,40.3925807197 -74.4323730469
Vacuum cleaner.wav,https://freesound.org/people/Jeanet_Henning/sounds/328908/,b9ad3e5e-2f38-4cd5-903e-b97894178e55,['cleaner'+ 'used'+ 'off'+ 'sucking'+ 'being'+ 'recorded'+ 'vaccuming'+ 'vaccum'+ 'vacuuming'+ 'from-a-distance'+ 'switching-on'+ 'vacuum'+ 'OWI'+ 'not-so-close-up'],Jeanet_Henning,http://creativecommons.org/licenses/by-nc/3.0/,A vacuum cleaner switching on and being used before switching off again.,24.144,
Vacuum Cleaner,https://freesound.org/people/AO-SoundPawz/sounds/542149/,0987cd45-2722-45ad-8335-155937aaa2a8,['engine'+ 'cleaner'+ 'turn-on'+ 'hoover'+ 'off'+ 'power'+ 'leaf-blower'+ 'FX'+ 'turn-off'+ 'household'+ 'vaccum'+ 'machine'+ 'industrial'+ 'sound-effect'+ 'motor'+ 'vacuum'+ 'motorized'+ 'cleaning'],AO-SoundPawz,http://creativecommons.org/publicdomain/zero/1.0/,"The sound of a vacuum cleaner being turned on and then off recorded on an iPhone with the Memo app.

If you find the sound useful, I would love to see what you made! Feel free to share a link to your project in the comments. (｡◕‿◕｡) Credit not required but appreciated. Thanks!",10.6347,
Vaccum_s63.wav,https://freesound.org/people/deleted_user_2195044/sounds/317927/,dfce6818-5e6d-4233-b30d-309d0ffa9c1d,['oscillator'+ 'generator'+ 'synth'],deleted_user_2195044,http://creativecommons.org/publicdomain/zero/1.0/,"SSA - 'Synthesis , Sampler , Acoustic' sample pack include 217 Wav files (Sounds) , Generated with Synths like: Vaccum , Subtractor , Korg mashines , and others , also Db33 - Organ , free recorded Vocals and electronnic drums.. Processed with Reverb , Chorus , Dist , Filters , Flanger...and others.",6.36227,
