name,url,uuid,tags,username,license,description,duration,geotags
Lightswitch.wav,https://freesound.org/people/Jordishaw/sounds/490755/,5c2c2424-ada6-403b-93ef-c9abc6216364,['a'+ 'Turning'+ 'light'+ 'Lights'+ 'switch'+ 'Light'+ 'off'],Jordishaw,http://creativecommons.org/licenses/by/3.0/,"This sound, I created by snapping my fingers. repeatedly. Then I added a compressor in order to soften the sound , which makes it more subtle sounding. Because in reality when you switch on light it is a very gentle or soft sound.",34.0974,
Flashlight clicking sound,https://freesound.org/people/StrikeWhistler/sounds/580780/,84aae43a-d21e-486b-bf6f-61573cdfc2fc,['click'+ 'flashlight'+ 'Flashlight'+ 'clicking'+ 'button'+ 'clicks'+ 'sound'],StrikeWhistler,http://creativecommons.org/publicdomain/zero/1.0/,"Feel free to use it for your projects, if you want you can credit me. :)",11.7847,
FLASHLIGHT_ROLL.wav,https://freesound.org/people/haynze/sounds/423750/,d727ca72-1134-40fb-b838-dc2a9a36175a,['Flashlight'+ 'flashlight'+ 'drop'+ 'rolling'+ 'break'],haynze,http://creativecommons.org/publicdomain/zero/1.0/,A flashlight dropping and rolling on a hardwood floor.,8.96267,
Flashlight_On_Off.aif,https://freesound.org/people/crcavol/sounds/154656/,8d66ef10-f3ea-4f25-b860-0c525f55503a,['flashlight'+ 'off'+ 'click'],crcavol,http://creativecommons.org/publicdomain/zero/1.0/,flashlight clicking on and off,34.9375,
Flashlight Switch.wav,https://freesound.org/people/jesabat/sounds/119727/,d24ce739-29b1-4e52-ad3a-ad3fd7a2916d,['click'+ 'flashlight'+ 'switch'],jesabat,http://creativecommons.org/licenses/by/3.0/,A flashlight switching on and off.,10.4025,
windup_flashlight.flac,https://freesound.org/people/wjoojoo/sounds/256023/,433f8c0a-9b8f-483e-9b91-5e7d3b4ff4b7,['flashlight'+ 'machine'+ 'whine'+ 'cranking'+ 'whiny'+ 'crank'+ 'mechanical'],wjoojoo,http://creativecommons.org/publicdomain/zero/1.0/,Cranking a wind-up flashlight,29.2107,
Flashlight_Clicks.aif,https://freesound.org/people/thereelfryboy/sounds/35013/,9df42bd8-6a32-4116-8292-1beff4850edd,['clicks'+ 'flashlight'+ 'off'],thereelfryboy,http://creativecommons.org/licenses/sampling+/1.0/,Flashlight being clicked on and off.,17.5949,
Flashlight clicking.wav,https://freesound.org/people/Marissrar/sounds/366897/,6cd1beb4-e32c-4118-853b-399c1917c285,['Flashlight'+ 'short'+ 'OWI'+ 'clicking'+ 'button'+ 'clicks'+ 'flashlight-click'+ 'pen'+ 'press'+ 'tick'+ 'click'],Marissrar,http://creativecommons.org/publicdomain/zero/1.0/,Clicking of a flashlight button,17.5478,
Flashlight Clicking On and Off,https://freesound.org/people/deleted_user_7146007/sounds/383659/,29771396-995d-417e-9a92-d3fcd779e8da,['Flashlight'+ 'Clicking'+ 'Off'+ 'On'],deleted_user_7146007,http://creativecommons.org/publicdomain/zero/1.0/,Flashlight Clicking On and Off,21.9167,
"Buzzing, Electric Lamp, A.wav",https://freesound.org/people/InspectorJ/sounds/415873/,bbb2f528-b083-47bc-b18e-366b2d1da079,['light'+ 'Electric'+ 'Light'+ 'Buzz'+ 'lamp'+ 'Lamp'+ 'buzz'+ 'Bulb'+ 'Buzzing'+ 'buzzing'+ 'bulb'+ 'electric'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Audio of an electric lamp bulb buzzing away. The recorder was held approximately 5cm away from the bulb. I have applied some EQ on the low end as I had to amplify this quite substantially for it to be audible.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Buzzing, Electric Lamp, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H6 (XY) Zoom recorder"" on 11th January 2018.

Note: Audio quality is always better when downloaded.",5.56186,
