name,url,uuid,tags,username,license,description,duration,geotags
Splashing bath .aif,https://freesound.org/people/lostphosphene/sounds/256316/,79595799-a130-45db-97ef-5ec191fab67c,['pouring'+ 'relaxing'+ 'liquid'+ 'Sploshing'+ 'splash'+ 'Splashing'+ 'flow'+ 'drip'+ 'pour'+ 'Bath'+ 'water'+ 'Splash'+ 'dripping'+ 'trickle'],lostphosphene,http://creativecommons.org/publicdomain/zero/1.0/,"Some Splashing in a Bath in Bath. Recorded using A Rode Nt1 running through to a  Tascam 1082 into Logic pro 9. Samples where from taking a mug of water and pouring it into a bath full of water. ( after having a bath not to waste the water ) Recorded at December 1st 2014 6:36pm. 
No additional plug-ins or normalisation was used. ",16.8932,
"Splash, Jumping, B.wav",https://freesound.org/people/InspectorJ/sounds/352100/,15a3634e-6115-4c29-8441-a3df5d44a973,['jump'+ 'pool'+ 'splosh'+ 'Splashing'+ 'jumping'+ 'Jump'+ 'splash'+ 'Jumping'+ 'Splosh'+ 'swimming'+ 'Splash'+ 'splashing'+ 'Pool'+ 'Swimming'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of someone jumping into a swimming pool.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Splash, Jumping, B.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 28th July 2016.

Note: Audio quality is always better when downloaded.",5.64245,
"Splash, Jumping, G.wav",https://freesound.org/people/InspectorJ/sounds/352103/,eb757e18-1aea-4435-9651-c41dd389dc16,['jump'+ 'pool'+ 'splosh'+ 'Splashing'+ 'jumping'+ 'Jump'+ 'splash'+ 'Jumping'+ 'Splosh'+ 'swimming'+ 'Splash'+ 'splashing'+ 'Pool'+ 'Swimming'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of someone jumping into a swimming pool. Browse the pack for more variations.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Splash, Jumping, G.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 14th August 2016.

Note: Audio quality is always better when downloaded.",5.68889,
"Splash, Jumping, H.wav",https://freesound.org/people/InspectorJ/sounds/352102/,4670ef9a-a052-4d37-9be3-c52b5c88f248,['jump'+ 'pool'+ 'splosh'+ 'Splashing'+ 'jumping'+ 'Jump'+ 'splash'+ 'Jumping'+ 'Splosh'+ 'swimming'+ 'Splash'+ 'splashing'+ 'Pool'+ 'Swimming'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of someone jumping into a swimming pool. Browse the pack for more variations.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Splash, Jumping, H.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 14th August 2016.

Note: Audio quality is always better when downloaded.",5.16644,
Long Splash and squishy sound,https://freesound.org/people/aarrnnoo/sounds/516190/,cd20c347-f2e9-4dac-86b0-4ceedcd09a5b,['sound'+ 'gross'+ 'squish'+ 'splash'+ 'slush'+ 'effect'+ 'Long'+ 'splatter'+ 'fruit'+ 'Splash'+ 'dirty'+ 'squick'+ 'squishy'+ 'splat'+ 'blood'],aarrnnoo,https://creativecommons.org/licenses/by/4.0/,"Dirty sounding squishing sound made with an orange being pressed very close to the mic. Can be used for anything from blood splatters or brain exploding, or just a tomato being cut into pieces. This time a longer version.",6.13948,
"Footsteps, Puddles, D.wav",https://freesound.org/people/InspectorJ/sounds/329606/,a800d9ca-a1ac-46a0-93a8-98f25076b7e7,['puddle'+ 'splish'+ 'Splash'+ 'Puddles'+ 'Splosh'+ 'Water'+ 'Step'+ 'splash'+ 'Foot'+ 'footstep'+ 'splosh'+ 'puddles'+ 'step'+ 'Steps'+ 'foot'+ 'Footsteps'+ 'water'+ 'Footstep'+ 'Splish'+ 'steps'+ 'footsteps'+ 'Puddle'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of footsteps splashing in small puddles and some mud. This is a combination of several raw recordings edited together. Apologies for the periodic wind interference.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Footsteps, Puddles, D.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""Sony ICDPX333.CE7 4GB PX Series MP3 Digital Voice IC Recorder"" on 13th November 2015.",18.9013,
"Footsteps, Puddles, C.wav",https://freesound.org/people/InspectorJ/sounds/329607/,000a6b4c-1c4d-4f8d-8f2a-886ee46f3df1,['puddle'+ 'splish'+ 'Splash'+ 'Puddles'+ 'Splosh'+ 'Water'+ 'Step'+ 'splash'+ 'Foot'+ 'footstep'+ 'Footsteps'+ 'water'+ 'Footstep'+ 'Splish'+ 'steps'+ 'footsteps'+ 'Puddle'+ 'splosh'+ 'puddles'+ 'step'+ 'Steps'+ 'foot'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of footsteps splashing in small puddles and some mud.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Footsteps, Puddles, C.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""Sony ICDPX333.CE7 4GB PX Series MP3 Digital Voice IC Recorder"" on 17th November 2015.",60.2948,
"Footsteps, Puddles, A.wav",https://freesound.org/people/InspectorJ/sounds/328168/,c2fad227-3733-41fc-942f-67705c9ab3b0,['Water'+ 'Splosh'+ 'Footstep'+ 'Splish'+ 'Puddles'+ 'Step'+ 'Splash'+ 'Steps'+ 'Foot'+ 'Footsteps'+ 'Puddle'+ 'footstep'+ 'splish'+ 'splash'+ 'puddle'+ 'splosh'+ 'puddles'+ 'step'+ 'foot'+ 'water'+ 'steps'+ 'footsteps'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of footsteps splashing in small puddles and some mud.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Footsteps, Puddles, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""Sony ICDPX333.CE7 4GB PX Series MP3 Digital Voice IC Recorder"" on 6th November 2015.",12.9356,
Liquid Pouring With Ice.wav,https://freesound.org/people/ericlichtenberg/sounds/432349/,8ef2233b-34df-44cd-9f5d-14bbd2b374c2,['pouring'+ 'cubes'+ 'liquid'+ 'drink'+ 'pour'+ 'glass'+ 'ice'],ericlichtenberg,http://creativecommons.org/publicdomain/zero/1.0/,Recording of a liquid being poured into a glass filled with ice.  Recorded on my Tascam TM-PC1's.,17.8599,
Liquid Pouring No Ice.wav,https://freesound.org/people/ericlichtenberg/sounds/432350/,16112e29-22b2-41d5-bad9-e8ad01bac7de,['glass'+ 'drink'+ 'pour'+ 'liquid'+ 'pouring'],ericlichtenberg,http://creativecommons.org/publicdomain/zero/1.0/,Recording of a liquid being poured into a glass with no ice.  Recorded on my Tascam TM-PC1's.,10.2078,
