id,name,url,className,classID,tags,username,license,description,duration,geotags,fold
414921,A Walk with stop.wav,https://freesound.org/people/straget/sounds/414921/,002 - Locomotion,1,['feet'+ 'gravel'+ 'step'+ 'Gravel'+ 'walking'+ 'Grass'+ 'footstep'+ 'Walking'+ 'walk'+ 'forest'+ 'foot'+ 'steps'+ 'grass'+ 'footsteps'],straget,http://creativecommons.org/publicdomain/zero/1.0/,walks on the gravel road and stops next to the road. Recorded by Zoom 4 F and Sennheiser MKE 600,103.108,57.2847446342 16.4691334962,4
340803,Walking on Broken Glass,https://freesound.org/people/Akc1231/sounds/340803/,002 - Locomotion,1,['Walking'+ 'cracks'+ 'broken'+ 'floor'+ 'walking'+ 'walk'+ 'feet'+ 'glass'+ 'steps'+ 'footsteps'],Akc1231,http://creativecommons.org/licenses/by/3.0/,Footsteps on broken glass.,9.95372,,3
402958,"Car Alarm Horn, Walking Past, A.wav",https://freesound.org/people/InspectorJ/sounds/402958/,002 - Locomotion,1,['past'+ 'Walking'+ 'Car'+ 'Alarm'+ 'walking'+ 'Walk'+ 'Past'+ 'car'+ 'walk'+ 'alarm'+ 'horn'+ 'Horn'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of walking past a car with its alarm/horn going off. The car had malfunctioned and the owner was desperately trying to turn it off - might as well make the most of it and record it! The recording starts about 10m away from the car, approaching as close as 1m before moving away again, at which point the recorder was pointed forwards as opposed to the car. The owner did eventually shut it off about 10s after the recording ends, so you can sleep well tonight.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Car Alarm, Walking Past, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 22nd September 2017.

Note: Audio quality is always better when downloaded.",25.2607,,10
411206,Going on a forest road gravel and grass.wav,https://freesound.org/people/straget/sounds/411206/,002 - Locomotion,1,['Walking'+ 'footstep'+ 'walking'+ 'walk'+ 'feet'+ 'step'+ 'steps'+ 'forest'+ 'foot'+ 'footsteps'+ 'Gravel'+ 'grass'+ 'Grass'+ 'gravel'],straget,http://creativecommons.org/publicdomain/zero/1.0/,"Recording while we're walking on a forest road 
with both gravel and grass.",31.2863,57.2837240747 16.4611726999,4
518585,Footsteps in the forest,https://freesound.org/people/Astounded/sounds/518585/,002 - Locomotion,1,['Walking'+ 'forest-walk'+ 'shoes'+ 'rambling'+ 'crunchy-steps'+ 'stomping'+ 'crunchy'+ 'country-walk'+ 'boots'+ 'boot-steps'+ 'heels'+ 'walking-boots'+ 'footsteps'+ 'Trecking'+ 'walking'+ 'footstep'+ 'walk'+ 'woodlands'+ 'woodland-birds'+ 'woodland'+ 'foley'+ 'under-foot'+ 'steps'+ 'feet'+ 'gravel'+ 'step'+ 'foot'+ 'Astbury'],Astounded,https://creativecommons.org/licenses/by/4.0/,"This is a recording of walking along a country path through a forest, microphones are about 15cm away from the ground to pick up each step, also birds in the background.",61.5838,47.5623783536 8.54363185417,10
345560,"Footsteps, Stones, A.wav",https://freesound.org/people/InspectorJ/sounds/345560/,002 - Locomotion,1,['Stones'+ 'stones'+ 'Stone'+ 'Footsteps'+ 'footstep'+ 'stone'+ 'walking'+ 'Walking'+ 'footsteps'+ 'Footstep'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of footsteps on a stone-filled driveway.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Footsteps, Stones, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 24th April 2016.

Note: Audio quality is always better when downloaded.",18.9446,,4
378131,Walking,https://freesound.org/people/13GPanska_Taborsky_Radovan/sounds/378131/,002 - Locomotion,1,['walking'+ 'floor'+ 'walk'],13GPanska_Taborsky_Radovan,http://creativecommons.org/publicdomain/zero/1.0/,Walking...,36.5453,,5
444666,Walking,https://freesound.org/people/markagames/sounds/444666/,002 - Locomotion,1,['Steps'+ 'Walking'+ 'Footsteps'+ 'Walk'],markagames,http://creativecommons.org/publicdomain/zero/1.0/,this sound is a walking sound made by slapping the mic against my leg,13.8892,,1
499068,7_Walking the footbridge.wav,https://freesound.org/people/16H_Panska_Skerl_Jan/sounds/499068/,002 - Locomotion,1,['czech'+ 'cz'+ 'walking'+ 'panska'+ 'walk'],16H_Panska_Skerl_Jan,http://creativecommons.org/publicdomain/zero/1.0/,Walking the footbridge,8.32,,0
499070,8_Walking on the sidewalk.wav,https://freesound.org/people/16H_Panska_Skerl_Jan/sounds/499070/,002 - Locomotion,1,['czech'+ 'cz'+ 'walking'+ 'panska'+ 'walk'],16H_Panska_Skerl_Jan,http://creativecommons.org/publicdomain/zero/1.0/,Walking on the sidewalk,8.32,,5
499060,1_Walking in the mud.wav,https://freesound.org/people/16H_Panska_Skerl_Jan/sounds/499060/,002 - Locomotion,1,['Czech'+ 'CZ'+ 'Panska'+ 'walking'+ 'walk'],16H_Panska_Skerl_Jan,http://creativecommons.org/publicdomain/zero/1.0/,Walking in the mud,12.52,,7
499067,5_Walking in the pool.wav,https://freesound.org/people/16H_Panska_Skerl_Jan/sounds/499067/,002 - Locomotion,1,['czech'+ 'cz'+ 'walking'+ 'panska'+ 'walk'],16H_Panska_Skerl_Jan,http://creativecommons.org/publicdomain/zero/1.0/,Walking in the pool,18.32,,8
