name,url,uuid,tags,username,license,description,duration,geotags
medium heavy wind gusts 2,https://freesound.org/people/Yoyodaman234/sounds/331221/,b7156d78-27da-45d3-bd91-d7aea05d465c,['gale'+ 'gust'+ 'nature'+ 'trees'+ 'gusts'+ 'windy'+ 'birds'+ 'wind'],Yoyodaman234,http://creativecommons.org/publicdomain/zero/1.0/,The sound of birds and trees in strong wind gusts. Recorded using the Zoom H6 MS module.,309.552,
Wind-Gusts-late-autumn.wav,https://freesound.org/people/BudJillett/sounds/109485/,b1868028-b324-4989-8935-29915ed50211,['autumn'+ 'field-recording'+ 'forest'+ 'gust'+ 'gusting'+ 'gusts'+ 'pine'+ 'wind'],BudJillett,http://creativecommons.org/publicdomain/zero/1.0/,"Field recording in late autumn, New England, during 20+ MPH wind gusts. Pine forest.",306.121,
medium heavy wind gusts 1,https://freesound.org/people/Yoyodaman234/sounds/331222/,fc3ebdfd-6de4-457c-8e4e-e43bea6620d8,['gale'+ 'gust'+ 'nature'+ 'trees'+ 'gusts'+ 'windy'+ 'birds'+ 'wind'],Yoyodaman234,http://creativecommons.org/publicdomain/zero/1.0/,The sound of birds and trees in strong wind gusts. Recorded using the Zoom H6 MS module.,624.465,
Wind storm gusts trees leaves 180504.wav,https://freesound.org/people/TRP/sounds/573207/,9a177ecd-2b26-4056-a7ee-d733ff73bfcf,['gusts'+ 'trees'+ 'wind'],TRP,http://creativecommons.org/publicdomain/zero/1.0/,"Wind in trees, leaves, gusts. Neumann KMR82i.",169.81,
"Just wind, medium constant gusts",https://freesound.org/people/Diegolar/sounds/505273/,90e68aec-95ea-490f-a092-eeb306c0bc01,['gusts'+ 'medium'+ 'aerial'+ 'wind'],Diegolar,https://creativecommons.org/licenses/by/4.0/,"Thats it! Just wind. Ok, fine, there's a bird somewhere before the first minute too. Mild to medium intensity gusts, constant and regular.
Recorded with a NTG3 on a MixPre6 and of course wind protection, but not that much.",140.749,-51.5310407066 -72.5873615957
"200509 Wind, window, cold gusts, moan, whistle, 1pm.wav",https://freesound.org/people/TRP/sounds/567356/,fad25ffc-b51c-45cd-9e21-a90d42066e40,['moan'+ 'inside'+ 'howl'+ 'wind'+ 'gusts'],TRP,http://creativecommons.org/publicdomain/zero/1.0/,"Cold winter wind from window, little gusts. EM127s.",51.733,
Wind in trees 70km gusts autumn 77mel 191027.flac,https://freesound.org/people/TRP/sounds/574554/,1968c3ad-6c65-4440-a322-c232e88491ab,['gusts'+ 'tree'+ 'wind'],TRP,http://creativecommons.org/publicdomain/zero/1.0/,"Wind gusts in tree, autumn. Stereo spaced EM172s.",176.28,
mountain wind heavy strong gusts Swiss Alps.flac,https://freesound.org/people/kyles/sounds/454092/,8e936750-5053-44ee-a5ea-0ef05f232607,['heavy'+ 'mountain'+ 'Alps'+ 'gusts'+ 'Swiss'+ 'strong'+ 'wind'],kyles,http://creativecommons.org/publicdomain/zero/1.0/,mountain wind heavy strong gusts Swiss Alps.flac,171.223,
Wind medium to strong gusts in remote countryside (France),https://freesound.org/people/akanjee/sounds/578630/,cdb0831a-7b39-4ec5-9467-53af40128483,['mountain'+ 'gusts'+ 'wind-howling'+ 'howling'+ 'windy'+ 'wind'],akanjee,https://creativecommons.org/licenses/by/4.0/,"Low mountain wind in secluded location in South of France at night, gusts of wind, almost no other noise, quite clean. A few drops of rain lightly audible.

Recorded with Tascam DR-40 internal microphones",240.0,44.5608638592 4.98450998049
Wind window strong gusts cold 77mel 191230.flac,https://freesound.org/people/TRP/sounds/574562/,00c42545-cedc-441a-948e-32d8fe67bac8,['gusts'+ 'window'+ 'winter'+ 'wind'],TRP,http://creativecommons.org/publicdomain/zero/1.0/,"Strong wind gusts from window, cold, winter. Neumann KMR82i.",98.4646,
