name,url,uuid,tags,username,license,description,duration,geotags
,,,,,,,,
"Request #42 - Hmm, I don't know.wav",https://freesound.org/people/InspectorJ/sounds/519189/,62589bd7-68ff-46d4-aee4-f70699d29dcb,['Voice'+ 'Words'+ 'Male'+ 'male'+ 'Speech'+ 'speaking'+ 'man'+ 'speech'+ 'voice'+ 'words'+ 'Speaking'+ 'Man'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"A response to a voice request; ""Hmm, I don't know. I think maybe it’s easier to get a new one. We can go to the store later to see if they have any in stock."" said with a British male voice in a few variations.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Request #42 - Hmm, I don't know.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""Zoom H6 (XY) recorder"" on 22nd May 2020.

Note: Audio quality is always better when downloaded.",61.832,
,,,,,,,,
Ambience speaking,https://freesound.org/people/theresabrits/sounds/488427/,a0507631-ad78-41e4-854d-e2c11226ce15,['Ambiance'+ 'OWI'+ 'Roomtone'+ 'Speaking'],theresabrits,https://creativecommons.org/licenses/by-nc/4.0/,Ambiance of people speaking,136,-25.891796 28.209664
,,,,,,,,
Activity Glitch.wav,https://freesound.org/people/Puniho/sounds/115538/,2dd2583f-bd1d-43f3-9520-a062001cb109,['8'+ '80s'+ 'chip'+ 'computer'+ 'glitch'+ 'lesson'+ 'noise'+ 'retro'+ 'robotic'+ 'speaking'+ 'spelling'+ 'spoken'+ 'toy'],Puniho,http://creativecommons.org/licenses/by/3.0/,This is the Speak and Follow children's educational toy from the 80's. It got a little confused and started producing interesting glitches.,5.66135,
,,,,,,,,
Some Bitspoken Words.wav,https://freesound.org/people/Puniho/sounds/168952/,817c7632-02a3-4787-93fc-66dbf0cc30a2,['speak-and-tell'+ 'voice'+ 'vocoded'+ 'spoken'+ 'Bitspeak'+ 'words'+ 'robotic'+ 'speaking-toy'+ 'common-words'+ 'speaking'],Puniho,http://creativecommons.org/licenses/by/3.0/,I was testing out a program called Bitspeak which will synthesize your voice and make it sound like those speak and tell toys. I just read out a list of all the most common words. I've left it all one file but you can cut out the words and paste them together into sentences!,280.87,
,,,,,,,,
People speaking on Singapore Subway.wav,https://freesound.org/people/dpattonwhite/sounds/534137/,cc191dcf-2ad5-4e2e-bb2f-64cdf76c02e5,['speaking'+ 'people'+ 'metro'+ 'sounds'+ 'subway'],dpattonwhite,http://creativecommons.org/publicdomain/zero/1.0/,people speaking on Singapore subway,316.735,
,,,,,,,,
DesignerSpeak.mp3,https://freesound.org/people/Gallhachel/sounds/69010/,1f44fc12-629c-4348-af4a-a74aa1d2937d,['danish'+ 'man'+ 'speaking'+ 'speech'],Gallhachel,http://creativecommons.org/licenses/by/3.0/,Me speaking in danish - a text about a guy trapped on a spaceship,158.891,
,,,,,,,,
Demon_Ghost Speaking 1.wav,https://freesound.org/people/Osiruswaltz/sounds/362673/,b659d416-7f50-4bf4-8dde-c1b15ab05351,['ghost'+ 'snarling'+ 'devil'+ 'language'+ 'nightmare'+ 'sinister'+ 'demon'+ 'paranormal'+ 'evil'+ 'spectre'+ 'snarl'+ 'words'+ 'ghostly'+ 'gibberish'+ 'speaking'+ 'speak'],Osiruswaltz,http://creativecommons.org/publicdomain/zero/1.0/,"Recording of me speaking gibberish that has been highly altered to sound like a demon ""speaking"".
Recorded and edited using Audacity.",12.62,
,,,,,,,,
FakeAnimalSpeaking.wav,https://freesound.org/people/zimbot/sounds/122978/,bfc7ae47-cf3f-4998-831d-0be1b3f55039,['alien'+ 'animal'+ 'fake'+ 'gibberish'+ 'speaking'+ 'strange'],zimbot,https://creativecommons.org/licenses/by/4.0/,"This is a slightly slowed-down recording of some silly animal-like sounds emulated with human voice, but in such a way the the end result is somewhat like a large animal trying to speak -- or perhaps speaking in a language humans cannot understand.",33.4354,
,,,,,,,,
"entrance to the mosque on Rhodes, speaking Arabic, scooter",https://freesound.org/people/mario1298/sounds/155780/,a8863178-57c9-4f4e-ac3b-38b2376ce16b,['Rhodes'+ 'Arabic'+ 'mosque'+ 'scooter'+ 'speaking'],mario1298,http://creativecommons.org/publicdomain/zero/1.0/,"entrance to the mosque on Rhodes, speaking Arabic, scooter",38.16,36.4428452027 28.2278680801
,,,,,,,,
Voice Request #2a - Laughing (Normal).wav,https://freesound.org/people/InspectorJ/sounds/361282/,1592e6c5-ed85-4815-9355-7c608a042324,['Voice'+ 'Male'+ 'Normal'+ 'request'+ 'normal'+ 'Request'+ 'male'+ 'laughing'+ 'voice'+ 'Laughing'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"A response to a <a href=""http://www.freesound.org/forum/sample-requests/39583/"" rel=""nofollow"">request</a>. This is the raw, unedited version.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Voice Request #2a - Laughing (Normal).wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom V2 recorder"" on 1st October 2016.

Note: Audio quality is always better when downloaded.",18.548,
,,,,,,,,
Voice Request #2b - Laughing (Low).wav,https://freesound.org/people/InspectorJ/sounds/361289/,1d17a6f6-38bb-4c06-91e8-e5c462942c5a,['Voice'+ 'Male'+ 'request'+ 'Request'+ 'laughing'+ 'male'+ 'Low'+ 'Laughing'+ 'voice'+ 'low'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"A response to a <a href=""http://www.freesound.org/forum/sample-requests/39583/"" rel=""nofollow"">request</a>. This version has been slowed down by 15%.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Voice Request #2b - Laughing (Low).wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom V2 recorder"" on 1st October 2016.

Note: Audio quality is always better when downloaded.",20.7555,
,,,,,,,,
Voice Request #2c - Laughing (High).wav,https://freesound.org/people/InspectorJ/sounds/361288/,a7034f76-13df-425f-8504-d8be437ab948,['high'+ 'Voice'+ 'Male'+ 'request'+ 'Request'+ 'High'+ 'male'+ 'Laughing'+ 'voice'+ 'laughing'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"A response to a <a href=""http://www.freesound.org/forum/sample-requests/39583/"" rel=""nofollow"">request</a>. This version has been sped up by 25%.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Voice Request #2c - Laughing (High).wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom V2 recorder"" on 1st October 2016.

Note: Audio quality is always better when downloaded.",15.7113,
,,,,,,,,
laugh.mp3,https://freesound.org/people/smartxxd/sounds/244526/,320b4614-f347-47ff-bcf8-c03a207984fc,['joy'+ 'laughter'+ 'laughing'+ 'laugh'],smartxxd,http://creativecommons.org/publicdomain/zero/1.0/,laughing,11.485,
,,,,,,,,
laughing_low_short.aif,https://freesound.org/people/thanvannispen/sounds/9553/,330f4756-9dcf-40d7-8e17-6fc993aa739d,['group'+ 'hohoho'+ 'laughing'],thanvannispen,https://creativecommons.org/licenses/by/4.0/,a group of men is laughing ,34,
,,,,,,,,
laughing_loudly_Ihihi.aif,https://freesound.org/people/thanvannispen/sounds/9552/,60a94396-6df8-405d-af40-7e2808988c75,['laughing'+ 'loudly'+ 'maniacally'],thanvannispen,https://creativecommons.org/licenses/by/4.0/,Ihihi laughs loudly and maniacally,8.5,
,,,,,,,,
DJ Shouting at Music Festival,https://freesound.org/people/tvilgiat/sounds/455957/,e954bc78-a75f-4031-a062-29bbb99e6737,['male'+ 'DJ'+ 'concert'+ 'spoken'+ 'music-festival'+ 'shouting'+ 'speech'+ 'geotagged'+ 'Strawberry-Fields'+ 'voice'+ 'make-some-noise'+ 'speaking'+ 'Colorado-Springs'],tvilgiat,https://creativecommons.org/licenses/by/4.0/,"For my radio drama, I needed a ""dubstep cover of a Beatles song"" but that would have cost almost a thousand dollars. In lieu of that, I just made the sounds of a DJ introducing said Dubstep cover. This vocal was recorded at Strawberry Fields in Colorado Springs, which is a once-public-but-now-private park, and hasn't really been manipulated in anyway. It's just me saying things like ""Make some motherfucking noise"" and talking to an imaginary crowd in a very loud voice. I figured since I couldn't find something like this on Freesound and had to make it myself, I would share it with you folks so that, if you ever find yourself in the same extremely specific predicament (or just need someone shouting) you can use this clip so you don't have to go to a park and bother the hikers. 

If you use it, you can credit ""Timmy Vilgiate""",31.5586,
,,,,,,,,
crowd shouting on the street,https://freesound.org/people/hellonyou/sounds/380103/,4ffb1cdc-5997-4f7e-803d-b740eb4bc0d6,['gathering'+ 'group'+ 'ba'+ 'crowd'+ 'cheering'+ 'indistinctly'+ 'people'+ 'scotland'+ 'crazy'+ 'fighting'+ 'shouting'+ 'audience'+ 'game'+ 'kirkwall'+ 'sport'],hellonyou,http://creativecommons.org/licenses/by-nc/3.0/,"crowd shouting indistinctly in the streets during Ba Game in Kirwall, Orkney island",101.171,
,,,,,,,,
